year,activity,dollars
2057,CAP_acct_gov,82110038203
2058,FGOV_acct_gov,116379297182
2058,SLGOV_acct_gov,89639054088
2058,CAP_acct_gov,82685618571
2059,FGOV_acct_gov,117326176925
2059,SLGOV_acct_gov,90380386236
2059,CAP_acct_gov,83269696774
2060,FGOV_acct_gov,118288043707
2060,SLGOV_acct_gov,91133552179
2060,CAP_acct_gov,83862388569
